Binary String Length,AlmostBalanced Redundancy in bits
0,0.0
1,1.0
2,0.0
3,1.0
4,2.0
5,3.0
6,2.0
7,3.0
8,2.0
9,3.0
10,2.0
11,3.0
12,2.0
13,3.0
14,2.0
15,3.0
16,4.0
17,3.0
18,4.0
19,3.0
20,2.0
21,3.0
22,4.0
23,3.0
24,2.0
25,3.0
26,4.0
27,3.0
28,2.0
29,3.0
30,4.0
31,3.0
32,2.0
33,3.0
34,4.0
35,3.0
36,2.0
37,3.0
38,2.0
39,3.0
40,2.0
41,3.0
42,2.0
43,3.0
44,2.0
45,3.0
46,2.0
47,3.0
48,2.0
49,3.0
50,2.0
51,3.0
52,2.0
53,3.0
54,2.0
55,3.0
56,2.0
57,3.0
58,2.0
59,3.0
60,2.0
61,1.0
62,2.0
63,3.0
64,2.0
65,1.0
66,2.0
67,3.0
68,2.0
69,1.0
70,2.0
71,3.0
72,2.0
73,3.0
74,2.0
75,3.0
76,2.0
77,3.0
78,2.0
79,1.0
80,2.0
81,3.0
82,2.0
83,1.0
84,2.0
85,3.0
86,2.0
87,1.0
88,2.0
89,3.0
90,2.0
91,1.0
92,2.0
93,3.0
94,2.0
95,1.0
96,2.0
97,3.0
98,2.0
99,1.0
100,2.0
101,1.0
102,2.0
103,1.0
104,2.0
105,1.0
106,2.0
107,1.0
108,2.0
109,1.0
110,2.0
111,3.0
112,2.0
113,1.0
114,2.0
115,3.0
116,2.0
117,1.0
118,2.0
119,1.0
120,2.0
121,1.0
122,2.0
123,1.0
124,2.0
125,1.0
126,2.0
127,1.0
128,2.0
129,1.0
130,2.0
131,1.0
132,2.0
133,1.0
134,2.0
135,1.0
136,2.0
137,1.0
138,2.0
139,1.0
140,2.0
141,1.0
142,2.0
143,1.0
144,2.0
145,1.0
146,2.0
147,1.0
148,2.0
149,1.0
150,2.0
151,1.0
152,2.0
153,1.0
154,2.0
155,1.0
156,2.0
157,1.0
158,2.0
159,1.0
160,2.0
161,1.0
162,2.0
163,1.0
164,2.0
165,1.0
166,2.0
167,1.0
168,2.0
169,1.0
170,2.0
171,1.0
172,2.0
173,1.0
174,2.0
175,1.0
176,2.0
177,1.0
178,2.0
179,1.0
180,2.0
181,1.0
182,2.0
183,1.0
184,2.0
185,1.0
186,2.0
187,1.0
188,2.0
189,1.0
190,2.0
191,1.0
192,2.0
193,1.0
194,2.0
195,1.0
196,2.0
197,1.0
198,2.0
199,1.0
200,2.0
201,1.0
202,2.0
203,1.0
204,2.0
205,1.0
206,2.0
207,1.0
208,2.0
209,1.0
210,2.0
211,1.0
212,2.0
213,1.0
214,2.0
215,1.0
216,2.0
217,1.0
218,2.0
219,1.0
220,2.0
221,1.0
222,2.0
223,1.0
224,2.0
225,1.0
226,2.0
227,1.0
228,2.0
229,1.0
230,2.0
231,1.0
232,2.0
233,1.0
234,2.0
235,1.0
236,2.0
237,1.0
238,2.0
239,1.0
240,2.0
241,1.0
242,2.0
243,1.0
244,2.0
245,1.0
246,2.0
247,1.0
248,2.0
249,1.0
250,2.0
251,1.0
252,2.0
253,1.0
254,2.0
255,1.0
256,2.0
257,1.0
258,2.0
259,1.0
260,2.0
261,1.0
262,2.0
263,1.0
264,2.0
265,1.0
266,2.0
267,1.0
268,2.0
269,1.0
270,2.0
271,1.0
272,2.0
273,1.0
274,2.0
275,1.0
276,2.0
277,1.0
278,2.0
279,1.0
280,2.0
281,1.0
282,2.0
283,1.0
284,2.0
285,1.0
286,2.0
287,1.0
288,2.0
289,1.0
290,2.0
291,1.0
292,2.0
293,1.0
294,2.0
295,1.0
296,2.0
297,1.0
298,2.0
299,1.0
300,2.0
301,1.0
302,2.0
303,1.0
304,2.0
305,1.0
306,2.0
307,1.0
308,2.0
309,1.0
310,2.0
311,1.0
312,2.0
313,1.0
314,2.0
315,1.0
316,2.0
317,1.0
318,2.0
319,1.0
320,2.0
321,1.0
322,2.0
323,1.0
324,2.0
325,1.0
326,2.0
327,1.0
328,2.0
329,1.0
330,2.0
331,1.0
332,2.0
333,1.0
334,2.0
335,1.0
336,2.0
337,1.0
338,2.0
339,1.0
340,2.0
341,1.0
342,2.0
343,1.0
344,2.0
345,1.0
346,2.0
347,1.0
348,2.0
349,1.0
350,2.0
351,1.0
352,2.0
353,1.0
354,2.0
355,1.0
356,2.0
357,1.0
358,2.0
359,1.0
360,2.0
361,1.0
362,2.0
363,1.0
364,2.0
365,1.0
366,2.0
367,1.0
368,2.0
369,1.0
370,2.0
371,1.0
372,2.0
373,1.0
374,2.0
375,1.0
376,2.0
377,1.0
378,2.0
379,1.0
380,2.0
381,1.0
382,2.0
383,1.0
384,2.0
385,1.0
386,2.0
387,1.0
388,2.0
389,1.0
390,2.0
391,1.0
392,2.0
393,1.0
394,2.0
395,1.0
396,2.0
397,1.0
398,2.0
399,1.0
400,2.0
401,1.0
402,2.0
403,1.0
404,2.0
405,1.0
406,2.0
407,1.0
408,2.0
409,1.0
410,2.0
411,1.0
412,2.0
413,1.0
414,2.0
415,1.0
416,2.0
417,1.0
418,2.0
419,1.0
420,2.0
421,1.0
422,2.0
423,1.0
424,2.0
425,1.0
426,2.0
427,1.0
428,2.0
429,1.0
430,2.0
431,1.0
432,2.0
433,1.0
434,2.0
435,1.0
436,2.0
437,1.0
438,2.0
439,1.0
440,2.0
441,1.0
442,2.0
443,1.0
444,2.0
445,1.0
446,2.0
447,1.0
448,2.0
449,1.0
450,2.0
451,1.0
452,2.0
453,1.0
454,2.0
455,1.0
456,2.0
457,1.0
458,2.0
459,1.0
460,2.0
461,1.0
462,2.0
463,1.0
464,2.0
465,1.0
466,2.0
467,1.0
468,2.0
469,1.0
470,2.0
471,1.0
472,2.0
473,1.0
474,2.0
475,1.0
476,2.0
477,1.0
478,2.0
479,1.0
480,2.0
481,1.0
482,2.0
483,1.0
484,2.0
485,1.0
486,2.0
487,1.0
488,2.0
489,1.0
490,2.0
491,1.0
492,2.0
493,1.0
494,2.0
495,1.0
496,2.0
497,1.0
498,2.0
499,1.0
500,2.0
501,1.0
502,2.0
503,1.0
504,2.0
505,1.0
506,2.0
507,1.0
508,2.0
509,1.0
510,2.0
511,1.0
512,2.0
