Quaternary String Length,AlmostBalanced,RLL,AlmostBalancedAndRLL
0,0.0,0.0,0.0
1,2.0,2.0,1.0
2,3.0,4.0,3.0
3,4.584962500721156,6.0,4.584962500721156
4,6.584962500721156,7.977279923499917,6.584962500721156
5,8.321928094887362,9.960001932068081,8.321928094887362
6,10.321928094887362,11.94251450533924,10.321928094887362
7,12.129283016944967,13.92481250360578,12.108524456778168
8,14.129283016944967,15.90717234447005,14.103943429891558
9,15.977279923499918,17.889527729277944,15.929443357684196
10,17.977279923499918,19.87188117971045,17.92207331124603
11,20.851749041416056,21.85423531256666,20.773937620505322
12,21.851749041416056,23.83658937517833,21.764819768862814
13,24.744833837499545,25.818943421518597,24.635448893395235
14,25.744833837499545,27.801297475192314,25.625088088152815
15,28.651724433108065,29.783651527891582,28.509791431525517
16,29.651724433108065,31.766005580468864,29.498500214734577
17,32.56926227291609,33.7483596331229,32.39414458005565
18,33.56926227291609,35.73071368576439,33.382132376973985
19,36.495261691472315,37.71306773840517,36.28652083677699
20,38.99002638322189,39.695421791046726,38.757492901099305
21,40.42814749561378,41.67777584368813,40.185468782906476
22,42.93064783614296,43.660129896329536,42.664562852919346
23,44.36674695094963,45.64248394897095,44.08989693607486
24,46.875760598437495,47.62483800161236,46.57585264934156
25,48.310163422583265,49.60719205425377,47.99896418661133
26,50.82473659541303,51.589546106895185,50.49079290038834
27,52.25769600268913,53.5719001595366,51.912008851086185
28,54.77707016178271,55.55425421217801,54.40892090842339
29,56.20878640220818,57.536608264819414,55.82850113225682
30,58.7323483582652,59.518962317460826,58.32985589752968
31,61.075519871344724,61.50131637010224,60.64954033627015
32,62.69022971545993,63.48367042274365,62.253280942375994
33,65.0374518305112,65.46602447538505,64.57728403241757
34,66.65042870740196,67.44837852802647,66.17892956612592
35,69.00126949420456,69.43073258066788,68.50679753369063
36,70.6127042062869,71.41308663330929,70.10657564807381
37,72.96679727694742,73.3954406859507,72.43792252520988
38,74.5768507586314,75.37779473859212,74.03602571586389
39,76.93388265447467,77.36014879123353,76.370520498771
40,79.1900698949122,79.34250284387494,78.60330672342987
41,80.90239236834687,81.32485689651635,80.30446968626134
42,83.16143867201177,83.30721094915776,82.54031980363025
43,84.87220936285048,85.28956500179916,84.23966253879341
44,87.13387693292037,87.27191905444057,86.47832568056815
45,88.84323029587873,89.25427310708199,88.17600364642878
46,91.10730975430504,91.2366271597234,90.41725842970646
47,92.81536350244578,93.21898121236481,92.11340801376495
48,95.08166954520422,95.20133526500622,94.35705811230937
49,96.78852731747347,97.18368931764763,96.05179962363614
50,99.05689516761029,99.16604337028905,98.2976701372168
51,101.26047859464305,101.14839742293046,100.47815083886903
52,103.03293117498453,103.13075147557187,102.23904469085763
53,105.23853567093397,105.11310552821328,104.42169792525922
54,107.00972715283456,107.09545958085468,106.18113623109123
55,109.21722032066504,109.07781363349609,108.36582206231127
56,110.98723714709709,111.0601676861375,110.12390303918002
57,113.19649913628152,113.04252173877892,112.31049455074698
58,114.96541916782914,115.02487579142033,114.06730682385059
59,117.17634114423072,117.00722984406174,116.25568856249193
60,119.34188556504799,118.98958389670315,118.39825636902971
61,121.156717598472,120.97193794934456,120.20137901510515
62,123.32388487974546,122.95429200198598,122.3456910034141
63,125.13760179078194,124.93664605462739,124.14754244956924
64,127.30630238776013,126.9190001072688,126.29350424223814
65,129.1189688773914,128.9013541599102,128.0941569134803
66,131.28912040983508,130.88370821255162,130.24168152072008
67,133.10079572109476,132.86606226519302,132.0412018507696
68,135.2723222343103,134.84841631783445,134.19020892707894
69,137.0830607477704,136.83077037047585,135.9886579984871
70,139.25589206574932,138.81312442311727,138.13907318937754
71,141.39512643375804,140.79547847575867,140.25557179714585
72,143.23981497352173,142.77783252840007,142.0882616569703
73,145.38032641674943,144.7601865810415,144.20613245901404
74,147.22407684136203,146.7425406336829,146.03776227841362
75,149.3658062036943,148.72489468632432,148.1569430864874
76,151.20866431857678,150.70724873896572,149.98756357720538
77,153.35155642379786,152.68960279160714,152.10799628294114
78,155.19356477332002,154.67195684424854,153.93765462635136
79,157.3375680796723,156.65431089688997,156.05928485742027
80,159.45563558338668,158.63666494953137,158.15474964396674
81,161.32383253914765,160.6190190021728,160.01080183356635
82,163.44298411384727,162.6013730548142,162.10742886216687
83,165.31034152511717,164.5837271074556,163.96254045457374
84,167.4305332748842,166.566081160097,166.06028384104042
85,169.2970871040489,168.5484352127384,167.91449418506613
86,171.41827771166297,170.53078926537984,170.01331066062411
87,173.2840616736438,172.51314331802124,171.86665671059967
88,175.4062122056131,174.49549737066266,173.96650543129485
89,177.27125795000777,176.47785142330406,175.81902193535203
90,179.39433167933225,178.4602054759455,177.9198643080034
91,181.4967797749227,180.44255952858688,179.99991498548795
92,183.38263119942746,182.4249135812283,181.87338350151208
93,185.48597969201762,184.4072676338697,183.95439780618838
94,187.3711059777154,186.3896216865111,185.82705928716032
95,189.47532318672592,188.37197573915253,187.9090042606724
96,191.35975137112476,190.35432979179393,189.78088801159046
97,193.46480723106964,192.33668384443536,191.8637323184654
98,195.34856288057819,194.31903789707675,193.7348660977917
99,197.45442883539678,196.30139194971818,195.81857992384593
100,199.54348989670143,198.28374600235958,197.88537739576438
101,201.4441850547395,200.266100055001,199.7735450069998
102,203.53403391896484,202.2484541076424,201.84118283777917
103,205.43407299382324,204.23080816028383,203.72862549342037
104,207.5246849060764,206.21316221292523,205.797078121235
105,209.42408981094627,208.19551626556662,207.6838193118112
106,211.51544113910057,210.17787031820805,209.75306228725913
107,213.41423272091438,212.16022437084945,211.63912440070774
108,215.50630089067997,214.14257842349087,213.70913432594395
109,217.40449899718556,216.12493247613227,215.59453871400348
110,219.49726243162198,218.1072865287737,217.66529318571585
111,221.57607680858052,220.0896405814151,219.72202531666784
112,223.4883240364876,222.07199463405652,221.62153778150977
113,225.56781410235436,224.05434868669792,223.67898879756487
114,227.47948398831926,226.03670273933935,225.57786700189982
115,229.55963089739183,228.01905679198074,227.6360175636759
116,231.47074058262496,230.00141084462217,229.53427971531647
117,233.5515262450573,231.98376489726357,231.59311122317288
118,235.46209213072052,233.96611894990497,233.4907747754633
119,237.54349917413387,235.9484730025464,235.55026933435383
120,239.61314807517823,237.9308270551878,237.5979680903085
121,241.53554869588726,239.91318110782922,239.5074914122347
122,243.6057999793444,241.89553516047062,241.55582852401307
123,245.52767380850432,243.87788921311204,243.46477693442813
124,247.59851226509244,245.86024326575344,245.513736932035
125,249.51987350098022,247.84259731839487,247.42212534638634
126,251.59128446998474,249.82495137103626,249.47169328735202
127,253.5121467565194,251.8073054236777,251.37953606607857
128,255.58411610103636,253.7896594763191,253.42969751357964
129,257.50449255550757,255.77201352896049,255.33700848816335
130,259.5770066389601,257.7543675816019,257.38774949011116
131,261.63948035183785,259.73672163424334,259.42843665231084
132,263.5699555419659,261.7190756868847,261.3458490567734
133,265.63295695218056,263.70142973952613,263.3870936592776
134,267.56296224916184,265.68378379216756,265.3039960180448
135,269.6264793623227,267.666137844809,267.34578595093046
136,271.55602618359717,269.64849189745036,269.2621901468786
137,273.62004739231077,271.6308459500918,271.30451366664994
138,275.54914675498594,273.6132000027332,273.2204311881685
139,277.61366082342664,275.59555405537463,275.2632769045773
140,279.6695130689712,277.577908108016,277.29747156360435
141,281.6073194113045,279.56026216065743,279.2220757252297
142,283.66364807215285,281.54261621329886,281.25677142049636
143,285.6010228887633,283.5249702659402,283.1809101548141
144,287.6578180734642,285.50732431858165,285.2160970003669
145,289.5947709683798,287.4896783712231,287.13978018826805
146,291.65202307411187,289.4720324238645,289.1754485655523
147,293.5885633448269,291.4543864765059,291.0986857920483
148,295.6462630472031,293.4367405291473,293.1348263416427
149,297.5823996969989,295.4190945817887,295.0576269066915
150,299.6405379402488,297.40144863443015,297.09423052025966
151,301.6911304929827,299.3838026870715,299.12331495350554
152,303.6348476774632,301.36615673971295,301.05366126162846
153,305.68586383497757,303.3485107923544,303.0831896023191
154,307.6291921618768,305.33086484499574,305.01311869695945
155,309.6806239286059,307.31321889763717,307.0430830217886
156,311.6235712772781,309.2955729502786,308.9726029306546
157,313.6754108677579,311.27792700292,311.00299550720126
158,315.6179848899993,313.2602810555614,312.9321140423519
159,317.6702247223269,315.2426351082028,314.9629273240521
160,319.71584546779883,317.22498916084425,316.98716489101264
161,321.6650655400508,319.2073432134857,318.9228787100259
162,323.71107217000065,321.18969726612704,320.94751871590967
163,325.6599333482193,323.17205131876847,322.88284987684744
164,327.7063191689275,325.1544053714099,324.90788576384773
165,329.6548281552565,327.13675942405126,326.84284101200916
166,331.70158663235543,329.1191134766927,328.86826636317477
167,333.6497499521905,331.1014675293341,330.80285228038474
168,335.696874706327,333.08382158197554,332.8286608165628
169,337.64469871401525,335.0661756346169,334.7628838257367
170,339.692183516614,337.04852968725834,336.78906940252944
171,341.73381641933844,339.03088373989976,338.8094567569025
172,343.6875131700843,341.0132377925412,340.749492376868
173,345.72949297113985,342.99559184518256,342.7702401092025
174,347.682863755978,344.977945897824,344.70992997399185
175,349.7251849467831,346.9602999504654,346.7310327394329
176,351.6782353471009,348.9426540031068,348.67038240819926
177,353.7208925374988,350.9250080557482,350.69183496397727
178,355.6736280009392,352.90736210838963,352.630849874862
179,357.7166159163974,354.88971616103106,354.6526470785018
180,359.75440614807565,356.87207021367243,356.66931210164313
181,361.7123552395568,358.85442426631386,358.6134693590573
182,363.75046358773477,360.8367783189553,360.63046317702674
183,365.7081106470448,362.8191323715967,362.57430206312176
184,367.7465324505048,364.8014864242381,364.59162021090515
185,369.70388226388104,366.7838404768795,366.5351454305859
186,371.7426129520178,368.76619452952093,368.5527835185318
187,373.69967020094134,370.7485485821623,370.4959996846863
188,375.738705291947,372.7309026348037,372.5139533975396
189,377.6954745558087,374.71325668744515,374.456865032888
190,379.73480965486874,376.6956107400866,376.4751301287884
191,381.76949739427664,378.67796479272795,378.48882000668783
192,383.73092621107924,380.6603188453694,380.43631397717047
193,385.76590233971314,382.6426728980108,382.4503006947851
194,387.727055117365,384.6250269506522,384.3975051923767
195,389.7623157479371,386.6073810032936,386.4117850664096
196,391.72319651773296,388.589735055935,388.3587040096255
197,393.7587378311387,390.57208910857645,390.373273411612
198,395.71935054410005,392.5544431612178,392.3199106503562
199,397.7551687882738,394.53679721385924,394.3347660061943
200,399.78681939639534,396.51915126650067,396.34553411781104
201,401.75160880571303,398.5015053191421,398.2962631123308
202,403.7835252232996,400.48385937178347,400.3073033614794
203,405.74805805785854,402.4662134244249,402.2577649791621
204,407.7802369705602,404.4485674770663,404.26907427036764
205,409.74451670772993,406.43092152970775,406.21927184336255
206,411.77695485344896,408.4132755823491,408.23084712114667
207,413.740984907521,410.39562963499054,410.1807839296827
208,415.773679075724,412.37798368763197,412.19262217844096
209,417.7374627991292,414.36033774027334,414.1423014514678
210,419.77040983014507,416.34269179291476,416.1543996953064
211,421.79959736665535,418.3250458455562,418.1628229198885
212,423.7671472989656,420.3073998981976,420.1161799136892
213,425.7965774021808,422.289753950839,422.12485040280785
214,427.76389165440173,424.2721080034804,424.0779630648668
215,429.79356153264325,426.25446205612184,426.0868782431268
216,431.7606430590804,428.23681610876326,428.0397493698705
217,433.7905499601794,430.21917016140463,430.0489066906943
218,435.75740166646716,432.20152421404606,432.00153903989195
219,437.7875428773724,434.1838782666875,434.01093598557844
220,439.8142870411235,436.16623231932886,436.0170259986555
221,441.7845404676427,438.1485863719703,437.9729663584205
222,443.811509097686,440.1309404246117,439.97928391468577
223,445.7815429056242,442.11329447725313,441.93499803077566
224,447.8087336092706,444.0956485298945,443.9415409585768
225,449.77855035752253,446.07800258253593,445.89703121544215
226,451.8059607721691,448.06035663517736,447.9037973634985
227,453.77556298146067,450.0427106878188,449.859066116778
228,455.8031907744115,452.02506474046015,451.8660533543784
229,457.77258092780824,454.0074187931016,453.8211029310065
230,459.800423796077,455.989772845743,455.8283091481737
231,461.82518048056306,457.9721268983844,457.8325215574759
232,463.7976600095932,459.9544809510258,459.7905649541341
233,465.82262262263623,461.9368350036672,461.79498517187
234,467.79489958002375,463.91918905630865,463.7528209740564
235,469.82006609132577,465.90154310895,465.75744718313643
236,471.7921426653456,467.88389716159145,467.7150774025314
237,473.8175110672747,469.8662512142329,469.71990780006814
238,475.7893894167146,471.8486052668743,471.67733442718173
239,477.81495772425274,473.83095931951567,473.6823672247393
240,479.8377203627981,475.8133133721571,475.6846904235605
241,481.81240622939396,477.7956674247985,477.6448256527076
242,483.8353600363811,479.7780214774399,479.6473406579262
243,485.809856743427,481.7603755300813,481.6072832732103
244,487.8329999729398,483.74272958272275,483.6099885510231
245,489.807309420897,485.7250836353642,485.56974026935535
246,491.83064034398376,487.70743768800554,487.5726342952901
247,493.80476441037933,489.68979174064697,489.5321968183066
248,495.82828131509814,491.6721457932884,491.5352780775174
249,497.80222185468654,493.6544998459298,493.4946530914638
250,499.82592304613263,495.6368538985712,495.4979200790015
251,501.8470605262345,497.6192079512126,497.49872036725054
252,503.823565691385,499.60156200385404,499.46056047569573
253,505.8448793151981,501.58391605649547,501.4615366692386
254,507.821209399778,503.56627010913684,503.423199438357
255,509.84269767792864,505.54862416177826,505.4243502496905
256,511.81885431503156,507.5309782144197,507.3858371326896
257,513.8405157707269,509.51333226706106,509.38716128024373
258,515.8165005758287,511.4956863197025,511.34847371948433
259,517.8383337449496,513.4780403723439,513.3499699279163
260,519.8578246255961,515.4603944249853,515.349223085472
261,521.836151747155,517.4427484776268,517.312776355222
